"COURSECODENO","MAJORCODE","DEGREE","MAJOR","NOYEARSTUDY","PLAN1","LANGUAGE1","PROGRAMSYSTEM","CALENDAR","BEGINYEAR","BEGINSEMESTER","FACCODE","DEPCODE"
"4776","21030","วิศวกรรมศาสตรบัณฑิต","วิศวกรรมเครื่องกล                                                     ","4.0",""," ","S","S","2023","1","21","2103"
"4778","21062","วิศวกรรมศาสตรบัณฑิต","วิศวกรรมปิโตรเลียม                                                    ","4.0",""," ","S","S","2023","1","21","2106"
"4780","21070","วิศวกรรมศาสตรบัณฑิต","วิศวกรรมสิ่งแวดล้อม                                                   ","4.0",""," ","S","S","2023","1","21","2107"
"3591","21007","วิศวกรรมศาสตรมหาบัณฑิต","วิศวกรรมชีวเวช","2.0","ก(1) "," ","S","S","2018","1","21","2100"
"3593","21007","วิทยาศาสตรมหาบัณฑิต","วิศวกรรมชีวเวช","2.0","ก(1) "," ","S","S","2018","1","21","2100"
"3595","21007","วิทยาศาสตรดุษฎีบัณฑิต","วิศวกรรมชีวเวช","3.0","1.1  "," ","S","S","2018","1","21","2100"
"3598","21007","วิทยาศาสตรดุษฎีบัณฑิต","วิศวกรรมชีวเวช","4.0","2.2  "," ","S","S","2018","1","21","2100"
"3625","21113","วิศวกรรมศาสตรบัณฑิต","วิศวกรรมนิวเคลียร์และรังสี","4.0",""," ","S","S","2018","1","21","2111"
"3627","21120","วิศวกรรมศาสตรมหาบัณฑิต","วิศวกรรมแหล่งน้ำ                                                      ","2.0","ก(1) "," ","S","S","2018","1","21","2112"
"3629","21120","วิศวกรรมศาสตรดุษฎีบัณฑิต","วิศวกรรมแหล่งน้ำ                                                      ","3.0","1.1  "," ","S","S","2018","1","21","2112"
"3631","21120","วิศวกรรมศาสตรดุษฎีบัณฑิต","วิศวกรรมแหล่งน้ำ                                                      ","3.0","2.1  "," ","S","S","2018","1","21","2112"
"3633","21040","วิศวกรรมศาสตรดุษฎีบัณฑิต","วิศวกรรมอุตสาหการ                                                     ","3.0","2.1  "," ","S","S","2018","1","21","2104"
"3635","21050","วิศวกรรมศาสตรบัณฑิต","วิศวกรรมเคมี                                                          ","4.0",""," ","S","S","2018","1","21","2105"
"3637","21040","วิศวกรรมศาสตรบัณฑิต","วิศวกรรมอุตสาหการ                                                     ","4.0",""," ","S","S","2018","1","21","2104"
"3639","21091","วิศวกรรมศาสตรมหาบัณฑิต","วิศวกรรมโลหการและวัสดุ                                                ","2.0","ก(2) "," ","S","S","2018","1","21","2109"
"3657","21112","วิทยาศาสตรมหาบัณฑิต","เทคโนโลยีนิวเคลียร์","2.0","ก(2) "," ","S","S","2018","1","21","2111"
"4972","21121","วิทยาศาสตรมหาบัณฑิต","การจัดการทรัพยากรน้ำ","2.0","ก(2) "," ","S","S","2025","1","21","2112"
"0019","21020","ประกาศนียบัตรบัณฑิต","วิศวกรรมไฟฟ้า                                                         ","1.0","","","S","S","1996","1","21","2102"
"0928","21100","วิศวกรรมศาสตรบัณฑิต","วิศวกรรมคอมพิวเตอร์                                                   ","4.0","","","S","S","1996","1","21","2110"
"4900","2100B","วิทยาศาสตรมหาบัณฑิต","นวัตวิศวกรรมเพื่อความยั่งยืน","2.0","ก(2) "," ","S","S","2024","1","21","2100"
"4902","21034","วิศวกรรมศาสตรมหาบัณฑิต","ระบบกายภาพที่เชื่อมประสานด้วยเครือข่ายไซเบอร์","1.5","ก(2) "," ","S","S","2024","1","21","2103"
"4850","21040","วิศวกรรมศาสตรบัณฑิต","วิศวกรรมอุตสาหการ                                                     ","4.0",""," ","S","S","2023","1","21","2104"
"4852","21006","วิศวกรรมศาสตรบัณฑิต","วิศวกรรมการออกแบบและการผลิตยานยนต์","4.0","","E","S","I","2023","1","21","2100"
"3742","21070","วิศวกรรมศาสตรดุษฎีบัณฑิต","วิศวกรรมสิ่งแวดล้อม                                                   ","4.0","2.2  "," ","S","S","2018","1","21","2107"
"3597","21007","วิทยาศาสตรดุษฎีบัณฑิต","วิศวกรรมชีวเวช","3.0","2.1  "," ","S","S","2018","1","21","2100"
"3477","21030","วิศวกรรมศาสตรมหาบัณฑิต","วิศวกรรมเครื่องกล                                                     ","2.0","ก(1) "," ","S","S","2018","1","21","2103"
"4937","21005","วิศวกรรมศาสตรบัณฑิต","วิศวกรรมนาโน","4.0","","E","S","I","2025","1","21","2100"
"4947","21050","วิศวกรรมศาสตรมหาบัณฑิต","วิศวกรรมเคมี                                                          ","2.0","ก(2) "," ","S","S","2025","1","21","2105"
"4971","21121","วิทยาศาสตรมหาบัณฑิต","การจัดการทรัพยากรน้ำ","2.0","ก(1) "," ","S","S","2025","1","21","2112"
"1733","21020","วิศวกรรมศาสตรมหาบัณฑิต","วิศวกรรมไฟฟ้า                                                         ","2.0","ก(2) "," ","S","S","2010","1","21","2102"
"1735","21020","วิศวกรรมศาสตรดุษฎีบัณฑิต","วิศวกรรมไฟฟ้า                                                         ","4.0","1.2  "," ","S","S","2010","1","21","2102"
"1737","21020","วิศวกรรมศาสตรดุษฎีบัณฑิต","วิศวกรรมไฟฟ้า                                                         ","4.0","2.2  "," ","S","S","2010","1","21","2102"
"2200","21007","วิทยาศาสตรดุษฎีบัณฑิต","วิศวกรรมชีวเวช","4.0","2.2  "," ","S","S","2014","1","21","2100"
