"YEAR","SEMESTER","COURSECODE","COURSENAME","SECTION","ROWSEQ","TEACHTYPE","DAY1","DAY2","DAY3","DAY4","DAY5","DAY6","DAY7","STARTTIME","ENDTIME","BUILDING","ROOM","STUDYPROGRAMSYSTEM","GENEDSTATUS","GENERALSUBJECT","LECTURECREDIT","NONLECTURECREDIT","TOTALCREDIT","REALREG","TOTALREG","REMARK1","REMARK2","REMARK3","FACCODE"
"2022","1","2102583","INTRO QUANTUM MECH","1","1","LECT","AR","","","","","","","AR  ","AR  ","EE   ","603  ","S","N","    ","3.000",".000","3.000","2","20","","","","21"
"2022","1","2102650","ELEC TRAN POW SYS","1","1","LECT","MO","WE","","","","","","0800","0930","HV   ","203  ","S","N","    ","3.000",".000","3.000","6","20","","","","21"
"2022","1","2102692","IND EXP II","1","1","IDPS","IA","","","","","","","IA  ","IA  ","IA   ","IA   ","S","N","    ",".000","3.000","3.000","8","20","","","","21"
"2022","1","2102791","ELEC ENG SEM I","1","1","LECT","IA","","","","","","","IA  ","IA  ","EE   ","IA   ","S","N","    ","2.000",".000","2.000","7","20"," "," "," ","21"
"2022","1","2102793","ELEC ENG SEM III","1","1","LECT","IA","","","","","","","IA  ","IA  ","EE   ","IA   ","S","N","    ","2.000",".000","2.000","1","20","","","","21"
"2022","1","2102811","THESIS","1","1","IDPS","IA","","","","","","","IA  ","IA  ","IA   ","IA   ","S","N","    ",".000","12.000","12.000","10","40","COMMUNICATION","","","21"
"2022","1","2101894","DOC DISSERT SEM","3","3","SMNA","FR","","","","","","","1300","1600","CE   ","501  ","S","N","    ",".000",".000",".000","6","20","TRANSPORT ONLY"," "," ","21"
"2022","1","2101897","QUALIFYING EXAM","1","1","LECT","IA","","","","","","","IA  ","IA  ","CE   ","IA   ","S","N","    ",".000",".000",".000","6","20"," "," "," ","21"
"2022","1","2102201","ELECT ENG MATH I","2","2","LECT","MO","WE","","","","","","1100","1230","ENG1 ","304  ","S","N","    ","3.000",".000","3.000","45","45","2EE","","","21"
"2022","1","2102203","PROB STAT ELEC ENG","1","1","LECT","TU","TH","","","","","","0800","0930","ENG3 ","317  ","S","N","    ","3.000",".000","3.000","43","45","2EE"," "," ","21"
"2022","1","2102203","PROB STAT ELEC ENG","3","3","LECT","TU","TH","","","","","","0800","0930","ENG3 ","320  ","S","N","    ","3.000",".000","3.000","32","45","2EE","","","21"
