"OAAPROGRAMID","OPS_NO","PROGRAMNAME_TH","PROGRAMNAME_EN","TITLEDEGREE_TH","TITLEDEGREE_EN","DEGREENAME_TH","DEGREENAME_EN","FACULTYCODE","LEVELCODE","UPDATETIME"
"723","25490011105686","หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมสิ่งแวดล้อม","Bachelor of Engineering Program in Environmental Engineering","วศ.บ.","B.Eng.","วิศวกรรมศาสตรบัณฑิต","Bachelor of Engineering","21","1","2024-11-29 15:38:52"
"735","25640014004807","หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเคมีและกระบวนการ (หลักสูตรนานาชาติ)","Bachelor of Engineering Program in Chemical and Process Engineering (International Program)","วศ.บ.","B.Eng.","วิศวกรรมศาสตรบัณฑิต","Bachelor of Engineering","21","1","2024-11-29 15:32:03"
"741","25570011101758","หลักสูตรวิศวกรรมศาสตรมหาบัณฑิต สาขาวิชาวิศวกรรมเครื่องกล","Master of Engineering Program in Mechanical Engineering","วศ.ม.","M.Eng.","รวิศวกรรมศาสตรมหาบัณฑิต","Master of Engineering","21","3","2024-12-23 14:12:00"
"708","25490011105675","หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเคมี","Bachelor of Engineering Program in Chemical Engineering","วศ.บ.","B.Eng.","วิศวกรรมศาสตรบัณฑิต","Bachelor of Engineering","21","1","2024-11-29 15:48:53"
"714","25490011105719","หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมปิโตรเลียม","Bachelor of Engineering Program in Petroleum Engineering","วศ.บ.","B.Eng.","วิศวกรรมศาสตรบัณฑิต","Bachelor of Engineering","21","1","2024-11-29 15:42:31"
"720","25490011105754","หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมโลหการและวัสดุ","Bachelor of Engineering Program in Metallurgical and Materials Engineering","วศ.บ.","B.Eng.","วิศวกรรมศาสตรบัณฑิต","Bachelor of Engineering","21","1","2024-11-29 15:40:08"
"729","25480011105279","หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมนาโน (หลักสูตรนานาชาติ)","Bachelor of Engineering Program in Nano-Engineering (International Program)","วศ.บ.","B.Eng.","วิศวกรรมศาสตรบัณฑิต","Bachelor of Engineering","21","1","2024-11-29 15:37:13"
"738","25350011100011","หลักสูตรวิศวกรรมศาสตรมหาบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์","Master of Engineering Program in Computer Engineering","วศ.ม.","M.Eng.","วิศวกรรมศาสตรมหาบัณฑิต","Master of Engineering","21","3","2024-12-23 14:15:21"
"138","25540011104152","หลักสูตรวิศวกรรมศาสตรมหาบัณฑิต สาขาวิชาวิศวกรรมชีวเวช (หลักสูตรสหสาขาวิชา)","Master of Engineering Program in Biomedical Engineering","วศ.ม.","M.Eng.","วิศวกรรมศาสตรมหาบัณฑิต","Master of Engineering","21","3","2024-12-23 14:31:01"
"744","25160011100087","หลักสูตรวิศวกรรมศาสตรมหาบัณฑิต สาขาวิชาวิศวกรรมนิวเคลียร์","Master of Engineering Program in Nuclear Engineering","วศ.ม.","M.Eng.","วิศวกรรมศาสตรมหาบัณฑิต","Master of Engineering","21","3","2024-12-23 14:24:27"
"750","25540011104141","หลักสูตรวิศวกรรมศาสตรมหาบัณฑิต สาขาวิชาวิศวกรรมโลหการและวัสดุ","Master of Engineering Program in Metallurgical and Materials Engineering","วศ.ม.","M.Eng.","วิศวกรรมศาสตรมหาบัณฑิต","Master of Engineering","21","3","2024-12-23 14:25:12"
"756","25560011103063","หลักสูตรวิศวกรรมศาสตรมหาบัณฑิต สาขาวิชาวิศวกรรมอุตสาหการ","Master of Engineering Program in Industrial Engineering","วศ.ม.","M.Eng.","วิศวกรรมศาสตรมหาบัณฑิต","Master of Engineering","21","3","2024-12-23 14:25:59"
"762","T20202155110335","หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาการจัดการทรัพยากรน้ำ","Master of Science Program in Water Resources Management","วท.ม.","M.Sc.","วิทยาศาสตรมหาบัณฑิต","Master of Science","21","3","2024-12-23 14:05:00"
"768","25450011100023","หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาวิศวกรรมซอฟต์แวร์","Master of Science Program in Software Engineering","วท.ม.","M.Sc.","วิทยาศาสตรมหาบัณฑิต","Master of Science","21","3","2024-12-23 14:27:06"
"774","25560011103129","หลักสูตรวิศวกรรมศาสตรดุษฎีบัณฑิต สาขาวิชาวิศวกรรมเคมี","Doctor of Philosophy Program in Chemical Engineering","วศ.ด.","Ph.D.","วิศวกรรมศาสตรดุษฎีบัณฑิต","Doctor of Philosophy","21","5","2024-12-23 14:42:30"
"780","25380011100857","หลักสูตรวิศวกรรมศาสตรดุษฎีบัณฑิต สาขาวิชาวิศวกรรมโลหการและวัสดุ","Doctor of Philosophy Program in Metallurgical and Materials Engineering","วศ.ด.","Ph.D.","วิศวกรรมศาสตรดุษฎีบัณฑิต","Doctor of Philosophy","21","5","2024-12-23 14:43:05"
"786","25560011103107","หลักสูตรวิศวกรรมศาสตรดุษฎีบัณฑิต สาขาวิชาวิศวกรรมอุตสาหการ","Doctor of Philosophy Program in Industrial Engineering","วศ.ด.","Ph.D.","วิศวกรรมศาสตรดุษฎีบัณฑิต","Doctor of Philosophy","21","5","2024-12-23 14:43:42"
"747","25520011107309","หลักสูตรวิศวกรรมศาสตรมหาบัณฑิต สาขาวิชาวิศวกรรมโยธา","Master of Engineering Program in Civil Engineering","วศ.ม.","M.Eng.","วิศวกรรมศาสตรมหาบัณฑิต","Master of Engineering","21","3","2024-12-23 14:34:32"
"753","25540011104128","หลักสูตรวิศวกรรมศาสตรมหาบัณฑิต สาขาวิชาวิศวกรรมสิ่งแวดล้อม","Master of Engineering Program in Environmental Engineering","วศ.ม.","M.Eng.","วิศวกรรมศาสตรมหาบัณฑิต","Master of Engineering","21","3","2024-12-23 14:35:08"
"759","25460011102026","หลักสูตรวิศวกรรมศาสตรมหาบัณฑิต สาขาวิชาวิศวกรรมทรัพยากรธรณีและปิโตรเลียม (หลักสูตรนานาชาติ)","Master of Engineering Program in Georesources and Petroleum Engineering (International Program)","วศ.ม.","M.Eng.","วิศวกรรมศาสตรมหาบัณฑิต","Master of Engineering","21","3","2024-12-23 14:59:05"
"765","25560011103085","หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาวิทยาศาสตร์คอมพิวเตอร์","Master of Science Program in Computer Science","วท.ม.","M.Sc.","วิทยาศาสตรมหาบัณฑิต","Master of Science","21","3","2024-12-23 14:13:15"
"771","25410011100693","หลักสูตรวิศวกรรมศาสตรดุษฎีบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์","Doctor of Philosophy Program in Computer Engineering","วศ.ด.","Ph.D.","วิศวกรรมศาสตรดุษฎีบัณฑิต","Doctor of Philosophy","21","5","2024-12-23 14:47:24"
