"PERSONNEL_ID","BEGIN_DATE","END_DATE","EDUCATION_LEVEL_ID","EDUCATION_LEVEL_NAME","INSTITUTION_ID","INSTITUTION_NAME","MAJOR_ID","MAJOR_NAME","DEGREE_ID","DEGREE_NAME","NATION_ID","NATION_NAME_TH","DISTINCTION_ID","DISTINCTION_NAME","HIGHEST_EDUCATION","HIGHEST_EDUCATION_TH","EMPLOY_EDUCATION_ID","EMPLOY_EDUCATION_NAME","GRADUATE_DATE"
"00036130","19970613","99991231","H1","ปริญญาเอก/เทียบเท่า","1200000871","University of Washington","10000650","Mechanical Engineering","10314","Doctor of Philosophy","US","USA"," "," ","X","ใช่","99998","ปรับวุฒิ","20001214"
"00035187","","99991231","A1","ประถมศึกษาตอนต้น","0000000000","--ไม่สามารถระบุได้--","00000000","--ไม่สามารถระบุได้--","20194","ประถมศึกษาตอนต้น(ป.4)","TH","ไทย"," "," ","X","ใช่","99999","วุฒิเริ่มบรรจุ","19990902"
"10017225","19820101","99991231","D1","ปริญญาตรี/เทียบเท่า","2200000003","จุฬาลงกรณ์มหาวิทยาลัย","20000644","ไฟฟ้า","20260","วิศวกรรมศาสตรบัณฑิต","TH","ไทย"," "," "," ","ไม่","99999","วุฒิเริ่มบรรจุ","19860101"
"10017225","","99991231","H1","ปริญญาเอก/เทียบเท่า","1200000805","University of Nottingham","10000613","Manufacturing Engineering and Operations","10527","Philosophy Degree","GB","United Kingdom"," "," ","X","ใช่","99998","ปรับวุฒิ","19951110"
"10017225","19880101","99991231","F1","ปริญญาโท/เทียบเท่า","1200000024","Asian Institute of Technology (AIT)","10000500","Industrial Engineering and Management","10461","Master of Engineering","TH","ไทย"," "," "," ","ไม่","99998","ปรับวุฒิ","19890101"
"00036042","19830601","99991231","D1","ปริญญาตรี/เทียบเท่า","2200000003","จุฬาลงกรณ์มหาวิทยาลัย","20000883","วิศวกรรมโยธา","20260","วิศวกรรมศาสตรบัณฑิต","TH","ไทย"," "," "," ","ไม่","99999","วุฒิเริ่มบรรจุ","19870330"
"00036042","19891001","99991231","H1","ปริญญาเอก/เทียบเท่า","1200000851","University of Tokoyo","10000172","Civil Engineering","10297","Doctor of Engineering","JP","Japan"," "," ","X","ใช่","99998","ปรับวุฒิ","19920930"
"00036042","20041101","99991231","C3","ปวส.หรือเทียบเท่า","0000000000","--ไม่สามารถระบุได้--","20000016","กฎหมายมหาชน","20172","ประกาศนียบัตรวิชาชีพชั้นสูง","TH","ไทย"," "," "," ","ไม่","99997","วุฒิเพิ่มเติม","20050401"
"00036042","19870901","99991231","F1","ปริญญาโท/เทียบเท่า","2200000398","สถาบันเทคโนโลยีแห่งเอเชีย","20000283","โครงสร้างและการก่อสร้าง","20261","วิศวกรรมศาสตรมหาบัณฑิต","TH","ไทย"," "," "," ","ไม่","99998","ปรับวุฒิ","19890430"
"00036279","","99991231","B1","มัธยมศึกษาตอนต้น","0000000000","--ไม่สามารถระบุได้--","00000000","--ไม่สามารถระบุได้--","20242","มัธยมศึกษาตอนต้น","TH","ไทย"," "," ","X","ใช่","99999","วุฒิเริ่มบรรจุ","19860902"
"10017018","","99991231","D1","ปริญญาตรี/เทียบเท่า","2200000035","มหาวิทยาลัยนเรศวร","20000659","ภาษาไทย","20312","ศิลปศาสตรบัณฑิต","TH","ไทย"," "," "," ","ไม่","99997","วุฒิเพิ่มเติม","19990315"
"10017018","20020603","99991231","F1","ปริญญาโท/เทียบเท่า","2200000067","มหาวิทยาลัยศรีนครินทรวิโรฒ","20000422","เทคโนโลยีการศึกษา","20007","การศึกษามหาบัณฑิต","TH","ไทย"," "," ","X","ใช่","99999","วุฒิเริ่มบรรจุ","20070518"
"00036108","19970501","99991231","H1","ปริญญาเอก/เทียบเท่า","1200000735","University of Florida","10000499","Industrial Engineering","10314","Doctor of Philosophy","US","USA"," "," ","X","ใช่","99998","ปรับวุฒิ","20001216"
"00036108","19890101","99991231","D1","ปริญญาตรี/เทียบเท่า","2200000003","จุฬาลงกรณ์มหาวิทยาลัย","20000899","วิศวกรรมอุตสาหการ","20260","วิศวกรรมศาสตรบัณฑิต","TH","ไทย"," "," "," ","ไม่","99999","วุฒิเริ่มบรรจุ","19930101"
